Title,Chemical_Name,MW,clogP,TPSA,Acceptor,Donor,RotBonds
F0440-0318,"N-(6-chloro-1,3-benzothiazol-2-yl)-2-(2,5-dioxopyrrolidin-1-yl)acetamide",323.75,2.16,107.61,4,1,3
F2158-0861,4-[(diethylcarbamoyl)oxy]benzoic acid,237.25,2.45,66.84,4,0,6
F3083-0086,"1-[4-(benzenesulfonyl)piperazin-1-yl]-3-(4-bromo-3,5-dimethyl-1H-pyrazol-1-yl)butan-1-one",469.4,3.45,83.89,4,0,6
F2995-0094,N-(2-cyanophenyl)-2-(4-methylphenyl)acetamide,250.3,2.53,52.89,2,1,3
F0327-0355,"N-[4-(5-bromothiophen-2-yl)-1,3-thiazol-2-yl]-4-(2,5-dioxopyrrolidin-1-yl)benzamide",462.34,2.88,135.85,4,1,4
F0440-0374,"2-(2,5-dioxopyrrolidin-1-yl)-N-(2-methoxy-4-nitrophenyl)acetamide",307.26,0.38,118.85,6,1,5
F3023-0961,"3-{[4-(morpholin-4-yl)phenyl]amino}-1-[3-(propan-2-yloxy)propyl]pyrrolidine-2,5-dione",375.46,2.25,71.11,6,2,8
F6617-3965,2-[(2E)-3-(4-methoxyphenyl)prop-2-enamido]acetic acid,235.24,1.44,75.63,4,1,5
F3205-0035,"1-(3-methoxypropyl)-3-{[4-(piperidin-1-yl)phenyl]amino}pyrrolidine-2,5-dione",345.44,2.93,61.88,5,2,7
F2590-0186,"2-[3-(2,5-dioxopyrrolidin-1-yl)benzamido]-4,5-dimethylthiophene-3-carboxamide",371.41,0.35,137.81,4,2,4
F2266-0010,"4-chloro-N-(1-ethyl-2-oxo-1,2,3,4-tetrahydroquinolin-6-yl)benzamide",328.79,3.31,49.41,2,1,3
F3115-0084,"ethyl 4-[1-(4-ethylphenyl)-2,5-dioxopyrrolidin-3-yl]piperazine-1-carboxylate",359.42,3.41,70.16,4,1,6
F3325-0127,"3-(4-benzylpiperazin-1-yl)-1-(4-methylphenyl)pyrrolidine-2,5-dione",363.45,3.93,43.86,4,2,4
F0700-0157,"N-[4-(5-bromothiophen-2-yl)-1,3-thiazol-2-yl]-3-(2,5-dioxopyrrolidin-1-yl)benzamide",462.34,2.88,135.85,4,1,4
F0849-3787,"3-[4-(4-fluorophenyl)piperazin-1-yl]-1-(2-methoxyphenyl)pyrrolidine-2,5-dione",383.42,3.55,53.09,4,2,4
F1813-0843,"N-(7-chloro-4-methyl-1,3-benzothiazol-2-yl)-2-(2,5-dioxopyrrolidin-1-yl)acetamide",337.78,2.66,107.61,4,1,3
F2769-0049,"N-(1-acetyl-1,2,3,4-tetrahydroquinolin-6-yl)-4-chlorobenzamide",328.79,3.19,49.41,2,1,3
F0327-0357,"N-(5-acetyl-4-methyl-1,3-thiazol-2-yl)-4-(2,5-dioxopyrrolidin-1-yl)benzamide",357.38,0.36,124.68,5,1,4
F2769-0037,"N-(1-acetyl-1,2,3,4-tetrahydroquinolin-6-yl)-3-chlorobenzamide",328.79,3.19,49.41,2,1,3
F1105-0086,"3-(2,5-dioxopyrrolidin-1-yl)-N-(2-methyl-1,3-dioxo-2,3-dihydro-1H-isoindol-4-yl)benzamide",377.35,0.63,103.86,5,1,3
F3083-0082,"3-(4-bromo-3,5-dimethyl-1H-pyrazol-1-yl)-1-[4-(4-methylbenzenesulfonyl)piperazin-1-yl]propan-1-one",469.4,3.64,83.89,4,0,6
F1800-0036,"N-(4-butylphenyl)-2-(3,5-dioxothiomorpholin-4-yl)acetamide",320.41,3.54,91.78,3,1,6
F3325-0112,"3-[4-(4-fluorophenyl)piperazin-1-yl]-1-(3-methoxyphenyl)pyrrolidine-2,5-dione",383.42,3.55,53.09,4,2,4
F1822-0643,"2-(2,5-dioxopyrrolidin-1-yl)-N-(4-ethyl-1,3-benzothiazol-2-yl)acetamide",317.36,2.47,107.61,4,1,4
F1822-0644,"N-{4,6-dioxa-10-thia-12-azatricyclo[7.3.0.0^{3,7}]dodeca-1(9),2,7,11-tetraen-11-yl}-2-(2,5-dioxopyrrolidin-1-yl)acetamide",333.32,1.97,126.07,6,1,3
F2670-0050,"N-(1-acetyl-1,2,3,4-tetrahydroquinolin-7-yl)-3-methylbenzamide",308.37,2.78,49.41,2,1,3
F5882-5135,"2-(2,5-dioxopyrrolidin-1-yl)-N-[4-(3-methyl-1,2,4-oxadiazol-5-yl)phenyl]acetamide",314.3,0.55,105.4,6,1,4
F0327-0381,"4-(2,5-dioxopyrrolidin-1-yl)-N-(2-methyl-1,3-dioxo-2,3-dihydro-1H-isoindol-5-yl)benzamide",377.35,0.63,103.86,5,1,3
F5577-0081,"1-ethyl-6-fluoro-7-(4-methylpiperidin-1-yl)-4-oxo-1,4-dihydroquinoline-3-carboxylic acid",332.38,3.4,60.85,5,2,3
F3385-0896,2-{[3-(4-methoxyphenyl)-4-oxo-4H-chromen-7-yl]oxy}acetonitrile,307.3,2.01,68.55,5,0,4
F1800-0195,"ethyl 4-[2-(2-methyl-3,5-dioxothiomorpholin-4-yl)acetamido]benzoate",350.39,2.94,118.08,5,1,6
F3385-4482,5-ethoxy-7-hydroxy-2-phenyl-4H-chromen-4-one,282.29,3.78,55.76,4,1,3
F3182-0011,"11-(2,5-dioxopyrrolidin-1-yl)undecanoic acid",283.36,2.73,74.68,4,0,11
F5123-0411,"N-(3,4-dichlorophenyl)-4-{3-ethyl-[1,2,4]triazolo[4,3-b]pyridazin-6-yl}piperazine-1-carboxamide",420.3,3.04,78.66,4,2,4
F0440-0332,"2-(2,5-dioxopyrrolidin-1-yl)-N-[4-(4-methylphenyl)-1,3-thiazol-2-yl]acetamide",329.37,2.45,107.61,4,1,4
F0873-0006,2-[(4-nitrophenyl)formamido]acetic acid,224.17,0.83,109.54,5,1,4
F2158-0864,"1-[3-(4-chlorophenyl)-1,2,4-oxadiazol-5-yl]propan-2-one",236.66,1.6,55.99,4,0,3
F2313-0092,"2-(2,5-dioxopyrrolidin-1-yl)-N-{5-[3-(propan-2-ylsulfanyl)phenyl]-1,3,4-oxadiazol-2-yl}acetamide",374.41,1.85,130.7,6,1,6
F0440-0315,"2-(2,5-dioxopyrrolidin-1-yl)-N-(6-methoxy-1,3-benzothiazol-2-yl)acetamide",319.34,1.74,116.84,5,1,4
F0440-0331,"2-(2,5-dioxopyrrolidin-1-yl)-N-(4-phenyl-1,3-thiazol-2-yl)acetamide",315.35,1.95,107.61,4,1,4
F1916-0010,3-{4-[4-(2-carboxyethyl)phenoxy]phenyl}propanoic acid,314.33,3.76,83.83,5,0,8
F2073-0219,"2-chloro-N-{2,6-dimethyl-4-oxo-4H-pyrido[1,2-a]pyrimidin-3-yl}-4-nitrobenzamide",372.76,1.76,104.91,5,1,3
F1813-0845,"2-(2,5-dioxopyrrolidin-1-yl)-N-(4-methoxy-7-methyl-1,3-benzothiazol-2-yl)acetamide",333.36,2.24,116.84,5,1,4
F0349-4092,"4-oxo-4-(2,4,5-trimethoxyphenyl)butanoic acid",268.26,1.11,82.06,6,0,7
F0440-0319,"N-(6-bromo-1,3-benzothiazol-2-yl)-2-(2,5-dioxopyrrolidin-1-yl)acetamide",368.21,2.31,107.61,4,1,3
F0440-0338,"N-[4-(2,5-dimethylphenyl)-1,3-thiazol-2-yl]-2-(2,5-dioxopyrrolidin-1-yl)acetamide",343.4,2.64,107.61,4,1,4
F0440-0347,"2-(2,5-dioxopyrrolidin-1-yl)-N-[4-(4-fluorophenyl)-1,3-thiazol-2-yl]acetamide",333.34,2.1,107.61,4,1,4
F0440-0337,"N-[4-(2,4-dimethylphenyl)-1,3-thiazol-2-yl]-2-(2,5-dioxopyrrolidin-1-yl)acetamide",343.4,2.64,107.61,4,1,4
F6443-5308,"N-(3,4-dichlorophenyl)-3-oxo-3H-spiro[2-benzofuran-1,3'-piperidine]-1'-carboxamide",391.25,3.46,58.64,3,1,2
F0608-0631,"2-(2,5-dioxopyrrolidin-1-yl)-N-[5-(5,6,7,8-tetrahydronaphthalen-2-yl)-1,3,4-oxadiazol-2-yl]acetamide",354.36,1.98,105.4,6,1,4
F5889-0027,N-[2-(morpholin-4-yl)-2-oxoethyl]-1H-indole-3-carboxamide,287.31,0.8,74.43,3,2,4
F6369-0505,"1-[4-(trifluoromethyl)-1,3-benzothiazol-2-yl]azetidin-3-yl 2-(2,5-dioxopyrrolidin-1-yl)acetate",413.37,3.03,108.05,5,1,5
F0440-0339,"N-[4-(3,4-dimethylphenyl)-1,3-thiazol-2-yl]-2-(2,5-dioxopyrrolidin-1-yl)acetamide",343.4,2.89,107.61,4,1,4
F2518-0396,"N-[5-(2,5-dimethylphenyl)-1,3,4-oxadiazol-2-yl]-2-(2,5-dioxopyrrolidin-1-yl)acetamide",328.32,1.1,105.4,6,1,4
F3385-0894,"3-(3,4-dimethoxyphenyl)-7-methoxy-4H-chromen-4-one",312.32,2.75,53.99,5,0,4
F0466-0033,"N-(5-acetyl-4-methyl-1,3-thiazol-2-yl)-3-(2,5-dioxopyrrolidin-1-yl)benzamide",357.38,0.36,124.68,5,1,4
F2073-0017,"2-chloro-N-{2-methyl-4-oxo-4H-pyrido[1,2-a]pyrimidin-3-yl}-4-nitrobenzamide",358.74,1.26,104.91,5,1,3
F3228-0188,"5,7-dimethoxy-3-(2-methoxyphenyl)-4H-chromen-4-one",312.32,2.48,53.99,5,0,4
F0789-0023,"N-(5,5-dimethyl-7-oxo-4,5,6,7-tetrahydro-1,3-benzothiazol-2-yl)-3-(2,5-dioxopyrrolidin-1-yl)benzamide",397.45,1.44,124.68,5,1,3
F6401-0075,"benzyl 2-[2,6-dioxo-4-(thiophen-2-yl)piperidin-1-yl]acetate",343.4,3.09,91.92,4,0,6
F0700-0132,"2-(2,5-dioxopyrrolidin-1-yl)-N-[2-(methylsulfanyl)-1,3-benzothiazol-6-yl]acetamide",335.4,2.37,132.91,4,1,4
F2191-0001,1-hydroxynaphthalene-2-carboxylic acid,188.18,3.36,57.53,3,1,1
F3205-0012,"1-[4-(morpholin-4-yl)phenyl]-3-[2-(piperidin-1-yl)cyclohex-2-en-1-yl]pyrrolidine-2,5-dione",423.55,2.41,53.09,4,2,4
F3083-0091,"3-(4-bromo-3,5-dimethyl-1H-pyrazol-1-yl)-1-[4-(4-methylbenzenesulfonyl)piperazin-1-yl]butan-1-one",483.42,3.95,83.89,4,0,6
F3325-0150,"1-(2-ethoxyphenyl)-3-(4-phenylpiperazin-1-yl)pyrrolidine-2,5-dione",379.45,3.76,53.09,4,2,5
F3083-0081,"3-(4-bromo-3,5-dimethyl-1H-pyrazol-1-yl)-1-[4-(4-chlorobenzenesulfonyl)piperazin-1-yl]propan-1-one",489.81,3.85,83.89,4,0,6
F0327-0396,"2-[4-(2,5-dioxopyrrolidin-1-yl)benzamido]-5-methyl-4,5,6,7-tetrahydro-1-benzothiophene-3-carboxamide",411.47,1.83,137.81,4,2,4
F1374-2249,"2-(2,5-dioxopyrrolidin-1-yl)-N-{5-[4-(trifluoromethyl)phenyl]-1,3,4-oxadiazol-2-yl}acetamide",368.27,1.31,105.4,6,1,4
F0327-0306,"N-(5,5-dimethyl-7-oxo-4,5,6,7-tetrahydro-1,3-benzothiazol-2-yl)-4-(2,5-dioxopyrrolidin-1-yl)benzamide",397.45,1.44,124.68,5,1,3
F1130-0015,2-{[3-(4-methylphenyl)adamantan-1-yl]formamido}acetic acid,327.42,3.66,66.4,3,1,4
F2518-0252,"N-[5-(2,4-dimethylphenyl)-1,3,4-oxadiazol-2-yl]-2-(2,5-dioxopyrrolidin-1-yl)acetamide",328.32,1.1,105.4,6,1,4
F3115-0085,"ethyl 4-{1-[4-(morpholin-4-yl)phenyl]-2,5-dioxopyrrolidin-3-yl}piperazine-1-carboxylate",416.47,1.83,82.63,6,2,6
F0440-0334,"2-(2,5-dioxopyrrolidin-1-yl)-N-[4-(4-methoxyphenyl)-1,3-thiazol-2-yl]acetamide",345.37,1.97,116.84,5,1,5
F0440-0346,"2-(2,5-dioxopyrrolidin-1-yl)-N-[4-(2-methoxyphenyl)-1,3-thiazol-2-yl]acetamide",345.37,1.41,116.84,5,1,5
F1813-0838,"N-(4,5-dichloro-1,3-benzothiazol-2-yl)-2-(2,5-dioxopyrrolidin-1-yl)acetamide",358.2,2.76,107.61,4,1,3
F3385-0975,"2-{[3-(3,4-dimethoxyphenyl)-4-oxo-4H-chromen-7-yl]oxy}acetamide",355.34,1.25,97.08,6,1,6
F2670-0026,"N-(1-acetyl-1,2,3,4-tetrahydroquinolin-7-yl)-3-chlorobenzamide",328.79,3.19,49.41,2,1,3
F0327-0391,"2-[4-(2,5-dioxopyrrolidin-1-yl)benzamido]-4,5,6,7-tetrahydro-1-benzothiophene-3-carboxamide",397.45,1.32,137.81,4,2,4
F0440-0317,"2-(2,5-dioxopyrrolidin-1-yl)-N-(6-ethoxy-1,3-benzothiazol-2-yl)acetamide",333.36,2.27,116.84,5,1,5
F2670-0038,"N-(1-acetyl-1,2,3,4-tetrahydroquinolin-7-yl)-4-chlorobenzamide",328.79,3.19,49.41,2,1,3
F3228-0184,"5,7-dimethoxy-2-phenyl-4H-chromen-4-one",282.29,3.62,44.76,4,0,3
F1105-0061,"N-(2-methyl-1,3-dioxo-2,3-dihydro-1H-isoindol-4-yl)-3-(trifluoromethyl)benzamide",348.28,3.5,66.48,3,1,2
F3325-0128,"3-(4-benzylpiperazin-1-yl)-1-(2-methoxyphenyl)pyrrolidine-2,5-dione",379.45,3.52,53.09,5,2,5
F3323-0631,"4-[2-(3-fluoro-4-methoxyphenyl)-2-oxoethyl]-2,3,4,5-tetrahydro-1,4-benzoxazepine-3,5-dione",343.31,2.75,72.91,5,0,4
F1813-0842,"N-(4,7-dichloro-1,3-benzothiazol-2-yl)-2-(2,5-dioxopyrrolidin-1-yl)acetamide",358.2,2.88,107.61,4,1,3
F3323-0583,"4-[2-(2-methoxyphenyl)-2-oxoethyl]-2,3,4,5-tetrahydro-1,4-benzoxazepine-3,5-dione",325.32,2.77,72.91,5,0,4
F0349-0111,ethyl N-{2-[(ethoxycarbonyl)amino]phenyl}carbamate,252.27,2.14,76.66,4,2,6
F3188-0006,"ethyl 4-[1-(2,5-dimethoxyphenyl)-2,5-dioxopyrrolidin-3-yl]piperazine-1-carboxylate",391.42,2.5,88.62,6,1,7
F6250-0491,"3-[2-(2,5-dioxopyrrolidin-1-yl)acetamido]cyclohexyl N-(4-fluorophenyl)carbamate",391.39,2.18,104.81,5,2,6
F0806-0077,"methyl 3-[2-(2,5-dioxopyrrolidin-1-yl)acetamido]-1-benzothiophene-2-carboxylate",346.36,2.17,121.02,5,1,5
F0806-0417,"2-[3-(2,5-dioxopyrrolidin-1-yl)benzamido]-4H,5H,6H,7H,8H-cyclohepta[b]thiophene-3-carboxamide",411.47,1.87,137.81,4,2,4
F0777-0033,2-(dibenzylamino)acetic acid,255.31,3.52,40.54,2,1,6
F2590-1466,"methyl 2-[4-(2,5-dioxopyrrolidin-1-yl)benzamido]-4,5-dimethylthiophene-3-carboxylate",386.42,1.91,121.02,5,1,5
F3188-0014,"ethyl 4-{1-[4-(difluoromethoxy)phenyl]-2,5-dioxopyrrolidin-3-yl}piperazine-1-carboxylate",397.37,2.91,79.39,5,1,7
F3385-2703,"2-{[3-(3,4-dimethoxyphenyl)-4-oxo-4H-chromen-7-yl]oxy}acetonitrile",337.33,1.74,77.78,6,0,5
F0415-0017,2-(pyridin-4-yl)-4H-chromen-4-one,223.23,2.01,39.19,3,1,1
F0196-0437,"3-ethyl-4-(7-hydroxy-2-methyl-4-oxo-4H-chromen-3-yl)-2-methyl-1,3-thiazol-3-ium 4-methylbenzene-1-sulfonate",302.37,-3.24,78.65,3,1,2
F3095-1901,"2-{[1,1'-biphenyl]-4-yloxy}-N-[(oxolan-2-yl)methyl]acetamide",311.37,3.56,47.56,3,1,6
F0440-0333,"2-(2,5-dioxopyrrolidin-1-yl)-N-[4-(4-ethylphenyl)-1,3-thiazol-2-yl]acetamide",343.4,2.97,107.61,4,1,5
F6441-6721,"N-(3,4-dichlorophenyl)-4-(4-methoxybenzenesulfonyl)piperidine-1-carboxamide",443.34,3.09,84.09,4,1,5
F0286-0220,"2-chloro-4-nitro-N-(1,3-thiazol-2-yl)benzamide",283.69,1.63,113.37,4,1,3
F2018-0987,"N-[2-(dimethylamino)ethyl]-2-(2,5-dioxopyrrolidin-1-yl)-N-(4-methyl-1,3-benzothiazol-2-yl)acetamide hydrochloride",374.46,1.8,102.06,4,1,7
F1300-0076,"methyl 2-[2-(2,5-dioxopyrrolidin-1-yl)acetamido]-1,3-benzothiazole-6-carboxylate",347.35,1.49,133.91,6,1,5
F1358-0042,"methyl 2-[4-(2,5-dioxopyrrolidin-1-yl)benzamido]thiophene-3-carboxylate",358.37,0.96,121.02,5,1,5
F1166-0209,"2-(2,5-dioxopyrrolidin-1-yl)-N-[4-(5,6,7,8-tetrahydronaphthalen-2-yl)-1,3-thiazol-2-yl]acetamide",369.44,3.52,107.61,4,1,4
F1813-0846,"N-(4,7-dimethoxy-1,3-benzothiazol-2-yl)-2-(2,5-dioxopyrrolidin-1-yl)acetamide",349.36,2.01,126.07,6,1,5
F2898-5747,"2-(2,5-dioxopyrrolidin-1-yl)-N-[(oxolan-2-yl)methyl]-N-[4-(trifluoromethyl)-1,3-benzothiazol-2-yl]acetamide",441.42,2.47,108.05,5,0,6
F2049-0468,"N-(1-benzoyl-1,2,3,4-tetrahydroquinolin-7-yl)acetamide",294.35,2.06,49.41,2,1,3
F3188-0005,"ethyl 4-[1-(2,4-dimethoxyphenyl)-2,5-dioxopyrrolidin-3-yl]piperazine-1-carboxylate",391.42,2.5,88.62,6,1,7
F2073-0118,"2-chloro-N-{7-chloro-2-methyl-4-oxo-4H-pyrido[1,2-a]pyrimidin-3-yl}-4-nitrobenzamide",393.18,1.97,104.91,5,1,3
F2517-1310,"2-(2,5-dioxopyrrolidin-1-yl)-N-{5-[4-(trifluoromethoxy)phenyl]-1,3,4-oxadiazol-2-yl}acetamide",384.27,1.58,114.63,7,1,5
F1358-0173,"ethyl 2-[4-(2,5-dioxopyrrolidin-1-yl)benzamido]thiophene-3-carboxylate",372.4,1.49,121.02,5,1,6
F3316-0247,"N-[2-(4-chloro-3,5-dimethyl-1H-pyrazol-1-yl)ethyl]-3-nitrobenzamide",322.75,2.75,90.06,4,1,5
F3095-3637,"2-({4'-methyl-[1,1'-biphenyl]-4-yl}oxy)-1-(morpholin-4-yl)ethan-1-one",311.37,3.76,38.77,3,0,5
F5228-0080,"N-(5-chloro-2-hydroxyphenyl)-2-(6-oxo-4-phenyl-1,6-dihydropyrimidin-1-yl)acetamide",355.78,2.99,82,4,2,4
F3385-4187,3-(4-methoxyphenyl)-8-methyl-7-[2-(morpholin-4-yl)ethoxy]-4H-chromen-4-one,395.45,3.64,57.23,5,1,6
F5689-0059,"4-(2,5-dioxopyrrolidin-1-yl)-N-[2-(4-methyl-5-oxo-3-phenyl-4,5-dihydro-1H-1,2,4-triazol-1-yl)ethyl]benzamide",419.43,0.88,102.39,5,1,6
F1757-0012,"1-{4-[3-(4-bromo-3,5-dimethyl-1H-pyrazol-1-yl)-2-hydroxypropoxy]-3-methoxyphenyl}ethan-1-one",397.26,2.21,73.58,5,1,7
F2518-0108,"N-[5-(2,5-dichlorophenyl)-1,3,4-oxadiazol-2-yl]-2-(2,5-dioxopyrrolidin-1-yl)acetamide",369.16,1.6,105.4,6,1,4
F3385-0895,"3-(3,4-dimethoxyphenyl)-7-ethoxy-4H-chromen-4-one",326.34,3.28,53.99,5,0,5
F6435-1028,"3-(benzenesulfonyl)-N-(3,4-dichlorophenyl)pyrrolidine-1-carboxamide",399.29,3.32,74.86,3,1,4
F1757-0120,"1-{4-[3-(4-bromo-3,5-dimethyl-1H-pyrazol-1-yl)-2-hydroxypropoxy]phenyl}propan-1-one",381.26,3.06,64.35,4,1,7
F1591-0157,4-amino-N-methylbenzene-1-sulfonamide,186.23,0.04,80.57,3,2,2
F2493-3641,"N-{[5-(2,3-dihydro-1,4-benzodioxin-6-yl)-1,2-oxazol-3-yl]methyl}-2-(2,5-dioxopyrrolidin-1-yl)acetamide",371.34,0.71,110.97,7,1,5
F3019-0029,"3-[(adamantan-1-yl)amino]-1-[4-(dimethylamino)phenyl]pyrrolidine-2,5-dione",367.48,3.77,52.65,3,2,4
F0440-0345,"2-(2,5-dioxopyrrolidin-1-yl)-N-{4-[4-(propan-2-yl)phenyl]-1,3-thiazol-2-yl}acetamide",357.43,3.37,107.61,4,1,5
F1589-0514,4-[5-(2-chloro-4-nitrophenyl)furan-2-carbonyl]morpholine,336.73,2.29,85.82,5,0,4
F3188-0015,"ethyl 4-(1-{4-[(difluoromethyl)sulfanyl]phenyl}-2,5-dioxopyrrolidin-3-yl)piperazine-1-carboxylate",413.44,3.38,95.46,4,1,7
F3228-0172,2-(4-chlorophenyl)-7-hydroxy-4H-chromen-4-one,272.68,3.92,46.53,3,1,1
F3229-0031,"2-(3-ethyl-2,6-dioxo-3-phenylpiperidin-1-yl)-N-(2,4,6-trimethylphenyl)acetamide",392.49,3.97,66.48,3,1,5
F6195-2940,"N-{5-[(3,4-dichlorophenyl)carbamoyl]-4H,5H,6H,7H-[1,3]thiazolo[5,4-c]pyridin-2-yl}pyrazine-2-carboxamide",449.31,2.16,128.35,5,2,4
F1589-0509,5-(2-chloro-4-nitrophenyl)-N-(propan-2-yl)furan-2-carboxamide,308.72,3.28,85.38,4,1,4
F6439-8110,"2-(2,5-dioxopyrrolidin-1-yl)-N-{2-[6-(furan-2-yl)-1H-pyrazolo[1,5-a]imidazol-1-yl]ethyl}acetamide",355.35,1.16,101.85,5,1,6
F1751-0007,"3-[(adamantan-1-yl)amino]-1-(4-methoxyphenyl)pyrrolidine-2,5-dione",354.44,3.69,58.64,3,1,4
F6473-3975,"1-[1-({3',4'-dichloro-[1,1'-biphenyl]-4-yl}sulfonyl)azetidin-3-yl]pyrrolidine-2,5-dione",439.31,3.96,83.14,4,0,4
F1084-0888,2-chloro-4-nitro-N-(pyridin-2-yl)benzamide,277.66,1.78,85.13,4,2,3
F0526-0592,"methyl 2-[4-(2,5-dioxopyrrolidin-1-yl)benzamido]-6-(propan-2-yl)-4H,5H,6H,7H-thieno[2,3-c]pyridine-3-carboxylate hydrochloride",455.53,1.92,124.26,5,2,6
F5940-1789,"N-(3,4-dichlorophenyl)-4-[(prop-2-yn-1-yloxy)methyl]piperidine-1-carboxamide",341.23,3.27,41.57,2,1,6
F3323-0578,"4-[2-(5-chloro-2-methoxyphenyl)-2-oxoethyl]-2,3,4,5-tetrahydro-1,4-benzoxazepine-3,5-dione",359.76,3.52,72.91,5,0,4
F6195-1924,"N-(3,4-dichlorophenyl)-2-(furan-2-amido)-4H,5H,6H,7H-[1,3]thiazolo[5,4-c]pyridine-5-carboxamide",437.3,3.14,115.71,4,2,4
F1300-0180,"ethyl 2-[2-(2,5-dioxopyrrolidin-1-yl)acetamido]-1,3-benzothiazole-6-carboxylate",361.37,2.02,133.91,6,1,6
F6663-4473,"(2E)-3-(2H-1,3-benzodioxol-5-yl)-1-(4,4-difluoropiperidin-1-yl)prop-2-en-1-one",295.28,2.24,38.77,3,0,3
F3110-2246,naphthalene-1-carboxylic acid,172.18,3.06,37.3,2,0,1
F3323-0632,"4-[2-(2-ethoxy-5-fluorophenyl)-2-oxoethyl]-2,3,4,5-tetrahydro-1,4-benzoxazepine-3,5-dione",357.33,3.48,72.91,5,0,5
F2019-0479,"N-[3-(dimethylamino)propyl]-2-(2,5-dioxopyrrolidin-1-yl)-N-(6-fluoro-1,3-benzothiazol-2-yl)acetamide hydrochloride",392.45,1.72,102.06,4,1,8
F2019-1368,"N-[3-(dimethylamino)propyl]-2-(2,5-dioxopyrrolidin-1-yl)-N-(4-fluoro-1,3-benzothiazol-2-yl)acetamide hydrochloride",392.45,1.72,102.06,4,1,8
F2496-3074,"[5-(2-fluorophenyl)-1,2-oxazol-3-yl]methyl 2-(2,5-dioxopyrrolidin-1-yl)acetate",332.28,1.58,89.71,6,0,6
F3375-0129,"5-(2-chloro-4-nitrophenyl)-N-(1,1-dioxo-1lambda6-thiolan-3-yl)furan-2-carboxamide",384.79,1.27,127.9,6,1,4
F0526-0593,"methyl 2-[3-(2,5-dioxopyrrolidin-1-yl)benzamido]-6-ethyl-4H,5H,6H,7H-thieno[2,3-c]pyridine-3-carboxylate hydrochloride",441.5,1.39,124.26,5,2,6
F6170-0024,"3-ethyl 5-methyl 2-[(2-aminoethoxy)methyl]-4-(2-chlorophenyl)-6-methyl-1,4-dihydropyridine-3,5-dicarboxylate; benzenesulfonic acid",408.88,3.43,99.88,5,2,10
F0440-0349,"N-[4-(3,4-dichlorophenyl)-1,3-thiazol-2-yl]-2-(2,5-dioxopyrrolidin-1-yl)acetamide",384.24,3.26,107.61,4,1,4
F5831-4222,"N-({1,4-dioxaspiro[4.5]decan-2-yl}methyl)-2-(2,5-dioxopyrrolidin-1-yl)acetamide",310.35,0.97,84.94,5,1,4
F1383-0018,"2-[(1-ethyl-2,5-dioxopyrrolidin-3-yl)sulfanyl]pyridine-3-carboxylic acid",280.3,1.2,112.87,5,1,4
F0440-0335,"N-[4-(4-bromophenyl)-1,3-thiazol-2-yl]-2-(2,5-dioxopyrrolidin-1-yl)acetamide",394.24,2.82,107.61,4,1,4
F3385-4481,ethyl 2-[(7-hydroxy-4-oxo-2-phenyl-4H-chromen-5-yl)oxy]acetate,340.33,3.4,82.06,6,1,6
F0440-0343,"N-[4-(2,5-dichlorophenyl)-1,3-thiazol-2-yl]-2-(2,5-dioxopyrrolidin-1-yl)acetamide",384.24,3.13,107.61,4,1,4
F3349-0203,"4-(2,5-dioxopyrrolidin-1-yl)-N-(2-methylphenyl)benzene-1-sulfonamide",344.38,0.69,91.93,5,1,4
F3310-1337,3-(benzyloxy)benzoic acid,228.25,3.79,78.46,3,0,4
F0882-0814,"ethyl 5-[4-(2,5-dioxopyrrolidin-1-yl)benzamido]-3-methylthiophene-2-carboxylate",386.42,1.99,121.02,5,1,6
F0440-0344,"N-[4-(3,4-dimethoxyphenyl)-1,3-thiazol-2-yl]-2-(2,5-dioxopyrrolidin-1-yl)acetamide",375.4,1.68,126.07,6,1,6
F0715-0438,"N-[4-(2,4-dimethoxyphenyl)-1,3-thiazol-2-yl]-2-(2,5-dioxopyrrolidin-1-yl)acetamide",375.4,1.47,126.07,6,1,6
F5526-0468,N-[2-(4-ethoxyphenoxy)ethyl]-4-methoxybenzamide,315.36,3.68,56.79,4,1,8
F6195-0976,"N-{5-[2-(2,6-dioxopiperidin-1-yl)ethanesulfonyl]-4H,5H,6H,7H-[1,3]thiazolo[5,4-c]pyridin-2-yl}cyclopropanecarboxamide",426.51,0.54,153.37,6,1,6
F3095-0745,"1-(4-bromobenzoyl)-1,2,3,4-tetrahydroquinoline",316.19,3.98,20.31,1,0,2
F2040-0434,"4-chloro-N-(1-propanoyl-1,2,3,4-tetrahydroquinolin-6-yl)benzamide",342.82,3.72,49.41,2,1,4
F0882-0957,"N-[4-(2,4-dichlorophenyl)-1,3-thiazol-2-yl]-2-(2,5-dioxopyrrolidin-1-yl)acetamide",384.24,3.13,107.61,4,1,4
F3350-0562,"4-(2,5-dioxopyrrolidin-1-yl)-N-(4-methylphenyl)benzene-1-sulfonamide",344.38,1.25,91.93,5,1,4
F2019-2765,"N-(4,6-difluoro-1,3-benzothiazol-2-yl)-N-[3-(dimethylamino)propyl]-2-(2,5-dioxopyrrolidin-1-yl)acetamide hydrochloride",410.44,1.87,102.06,4,1,8
F2496-3406,"[5-(2,3-dihydro-1,4-benzodioxin-6-yl)-1,2-oxazol-3-yl]methyl 2-(2,5-dioxopyrrolidin-1-yl)acetate",372.33,1.39,108.17,8,0,6
